filename,label
task2/wV3REU47LpNqnVB6.png,35
task2/9YdDY7Sm1OhnT2KK.png,71
task2/HAeZAUfI7r4DWZQS.png,35
task2/xhRngqVoC9NX04c5.png,71
task2/eIsAvOMB2Yffl2DR.png,71
task2/gcTbsGKonNrd6C3R.png,28
task2/ife17sZMh7Rkym6I.png,26
task2/FPwNrhtlg4QxzPzu.png,71
task2/l8za1i3optOQFcMf.png,35
task2/9j6i4J4of1eIzUZY.png,35
task2/8XfEkw8M47RjarmI.png,71
task2/5seaUiQ1Nw8fDbuW.png,35
task2/8PLjZIyveyWym9OB.png,35
task2/UsgWQR7lHUUEZXjS.png,71
task2/CGGaILCZc70MCEuU.png,71
task2/v5gOARRlXl4ydQp5.png,35
task2/YEKRIjK16SPkaVQi.png,64
task2/rHYye5WwkB5Zmqiy.png,71
task2/IKyqZi9Xn4S60Yiw.png,71
task2/4kkLwWZ9CBVXJmwu.png,71
task2/cN0BCcZ6RTKHff1B.png,71
task2/ekYZrpuGaY9KMbfX.png,35
task2/eZp6WFy5FAn5TkBQ.png,35
task2/o1oU3zHfNjAMlChz.png,35
task2/kkiDDFzu8iPBOuDW.png,34
task2/byxaUqxIMy8JRdwC.png,71
task2/PgaO3AfNsmyGJ9Ss.png,35
task2/xp2C4sTmdnWhUjTA.png,35
task2/2D35iUacGa3iAssZ.png,35
task2/DxQu1t9tDF6BEYQL.png,71
task2/djqunBa4ktpafkqe.png,35
task2/fGtxy5YdCyx2gZJH.png,71
task2/78pFiordrXn5t46f.png,71
task2/Dloh4pkyLQyao0D9.png,71
task2/43V8h2AFIDpATgs8.png,35
task2/7iLhBlK6BDaUEPP1.png,71
task2/wqWjYWZ8PhWhk8vy.png,71
task2/8gmL4UdNk3Az3kzk.png,71
task2/HVGcfAIqt3nqBD2a.png,71
task2/q1SNubgfeeTPLG3Q.png,67
task2/59CjBOc3y6BB8h92.png,71
task2/GUn3OG3arHH2nndx.png,35
task2/vbGO0Hh8j5akk0ZI.png,71
task2/qZeLcZ6SDxceewPL.png,71
task2/rfTE8V0YHEpuYaaP.png,71
task2/z1DutEFuUMzQqANx.png,26
task2/abqqOfNGCeTFz6yp.png,71
task2/41M5LFTRdgJ532Sv.png,35
task2/KLxRYmHOImpYNfE7.png,35
task2/66smZyYZwQFMrUpU.png,64
task2/kaMcca1zKaezWJ8s.png,35
task2/z6FeP1peOetvhk22.png,71
task2/4haUpypaqC9eh1IG.png,35
task2/lx19XV32T3zaa6Y8.png,71
task2/kXnE2MJ6mTMHiCkU.png,35
task2/RSKSBAH6LrE9ewWu.png,71
task2/zmWoJWWgn8CgErfj.png,71
task2/oQ6yhHdM6BwmnCuj.png,71
